Source,Target,Weight
Scotland,Czechoslovakia,4
Dominica,Saint Lucia,10
Mexico,Basque Country,2
Saint Lucia,Dominica,19
Hungary,Luxembourg,10
Greece,Israel,10
Hungary,Greece,6
Czechoslovakia,Bulgaria,4
Switzerland,Portugal,11
Switzerland,England,4
Poland,Republic of Ireland,11
Basque Country,Cuba,2
Brazil,Poland,9
Hungary,Indonesia,1
Cuba,Romania,1
Sweden,Cuba,1
Brazil,Czechoslovakia,9
Italy,Brazil,5
Brazil,Sweden,10
Hungary,Estonia,6
Netherlands,Indonesia,2
Aruba,Suriname,5
Suriname,Trinidad and Tobago,18
Peru,Colombia,17
Ecuador,Colombia,13
Bolivia,Venezuela,16
Peru,Ecuador,21
Colombia,Venezuela,19
Bolivia,Colombia,6
Peru,Venezuela,23
Grenada,Saint Kitts and Nevis,5
Ecuador,Venezuela,15
Bolivia,Ecuador,6
Australia,India,5
India,Australia,2
Latvia,Poland,2
Republic of Ireland,Poland,6
Scotland,Hungary,3
Uruguay,Ecuador,31
France,Poland,9
Chile,Ecuador,29
Paraguay,Ecuador,22
Peru,Uruguay,15
Germany,Yugoslavia,14
Netherlands,Hungary,10
Haiti,Panama,8
Luxembourg,Germany,1
Romania,Latvia,4
Yugoslavia,England,4
France,Wales,4
Bulgaria,Latvia,3
England,Romania,3
Italy,Romania,10
Italy,Finland,13
Cuba,Panama,10
Poland,Hungary,7
Slovakia,Germany,3
Japan,China PR,17
Japan,Manchukuo,3
Germany,Slovakia,8
Luxembourg,Netherlands,2
Croatia,Switzerland,3
Yugoslavia,Germany,7
Israel,Lebanon,1
Hungary,Croatia,2
Slovakia,Bulgaria,3
Chile,Peru,45
Argentina,Ecuador,23
Costa Rica,Nicaragua,16
Costa Rica,Panama,23
Costa Rica,Curaçao,14
Curaçao,Nicaragua,5
El Salvador,Panama,16
Panama,Nicaragua,18
Germany,Croatia,5
India,Afghanistan,8
Iran,India,5
Croatia,Slovakia,10
Romania,Slovakia,5
Portugal,Switzerland,10
Cuba,Puerto Rico,4
Brazil,Ecuador,26
Italy,Croatia,1
Japan,Mongolia,4
Slovakia,Romania,1
Switzerland,Croatia,2
Guyana,Suriname,9
Guatemala,Costa Rica,18
El Salvador,Costa Rica,10
Guatemala,Nicaragua,21
El Salvador,Guatemala,19
Venezuela,Aruba,2
Venezuela,Haiti,3
Aruba,Curaçao,7
Suriname,Aruba,9
Brazil,Colombia,21
Uruguay,Colombia,20
Chile,Colombia,15
Argentina,Colombia,20
Colombia,Ecuador,23
Luxembourg,Belgium,1
Uganda,Tanzania,37
Guatemala,El Salvador,32
Panama,Honduras,13
Honduras,Guatemala,17
Costa Rica,Honduras,19
Nicaragua,Panama,4
Honduras,Nicaragua,14
France,Czechoslovakia,7
France,Austria,13
Portugal,Republic of Ireland,8
Zambia,Zimbabwe,21
Republic of Ireland,Spain,4
Denmark,Iceland,20
Luxembourg,Norway,1
Albania,Montenegro,3
Kenya,Tanzania,37
England,Republic of Ireland,6
Yugoslavia,Albania,4
Albania,Bulgaria,3
Albania,Romania,3
Panama,El Salvador,15
Jamaica,Trinidad and Tobago,27
Mauritius,Madagascar,12
South Africa,Australia,11
Mauritius,Réunion,18
Belgium,Scotland,13
Scotland,Luxembourg,4
Romania,Albania,11
England,Portugal,10
Madagascar,Réunion,13
Australia,South Africa,6
Norway,Poland,3
Bulgaria,Albania,5
South Africa,New Zealand,5
Cuba,United States,1
Norway,Iceland,18
Hungary,Albania,5
Tanzania,Zanzibar,25
Catalonia,Spain,1
Turkey,Iran,7
Guyana,Jamaica,2
Ethiopia,Djibouti,16
Paraguay,Colombia,18
Curaçao,Panama,3
El Salvador,Curaçao,11
Guatemala,Panama,12
Panama,Curaçao,3
Curaçao,Costa Rica,3
Panama,Guatemala,15
Poland,Czechoslovakia,4
Silesia,Czechoslovakia,1
Turkey,Greece,7
Scotland,Belgium,4
Switzerland,Scotland,5
France,Scotland,9
Zambia,DR Congo,11
Netherlands,Norway,10
Austria,Turkey,8
Jamaica,Cuba,12
Iceland,Finland,4
Romania,Czechoslovakia,6
Norway,United States,2
Northern Ireland,United States,1
Zimbabwe,Zambia,15
Bulgaria,Czechoslovakia,7
Martinique,Dominica,8
Kenya,Zanzibar,30
United States,Israel,2
French Guiana,Guyana,4
Trinidad and Tobago,Haiti,17
Bulgaria,Hungary,4
Guadeloupe,Haiti,2
Guadeloupe,French Guiana,6
Martinique,Suriname,7
Guadeloupe,Martinique,16
China PR,South Korea,3
South Korea,Macau,2
Bolivia,Chile,7
Bolivia,Uruguay,8
Belgium,Republic of Ireland,6
Haiti,Trinidad and Tobago,16
Trinidad and Tobago,Puerto Rico,3
Turkey,Egypt,2
Cuba,Suriname,9
Sweden,England,7
Dominican Republic,Cuba,1
Portugal,Wales,3
Belgium,Wales,7
Republic of Ireland,Portugal,4
Switzerland,Wales,5
Sweden,Republic of Ireland,5
Netherlands,Finland,10
Yugoslavia,Norway,9
Switzerland,Luxembourg,10
Martinique,Trinidad and Tobago,10
Israel,Cyprus,10
Yugoslavia,Israel,6
Republic of Ireland,Finland,3
Republic of Ireland,England,3
United States,Cuba,12
Poland,Bulgaria,11
Nigeria,Sierra Leone,16
Poland,Albania,10
Turkey,Syria,1
Wales,Belgium,5
Greece,Syria,1
Tanzania,Kenya,18
Haiti,Cuba,9
Croatia,Serbia,2
South Korea,Taiwan,7
Ghana,Nigeria,24
Yugoslavia,Denmark,5
Finland,Netherlands,1
Yugoslavia,Switzerland,5
Australia,Zimbabwe,3
Brazil,Mexico,24
England,Chile,2
Spain,United States,4
Yugoslavia,Mexico,3
Spain,Chile,8
United States,England,2
Chile,United States,5
Italy,Paraguay,2
Switzerland,Mexico,4
Réunion,Madagascar,3
Brazil,Spain,5
Uruguay,Sweden,1
Sweden,Spain,4
Yugoslavia,Sweden,5
Finland,Yugoslavia,1
Iran,Afghanistan,2
Israel,Turkey,2
Austria,Denmark,4
Turkey,Israel,4
Trinidad and Tobago,Guadeloupe,7
Panama,Costa Rica,15
Iran,Burma,1
India,Indonesia,5
Iran,Japan,7
Japan,Afghanistan,3
India,Iran,1
Grenada,Barbados,4
Barbados,Grenada,12
England,Argentina,6
Scotland,Denmark,11
Wales,Portugal,1
Argentina,Republic of Ireland,4
Wales,Switzerland,2
Barbados,Jamaica,5
Jamaica,Barbados,11
Republic of Ireland,Norway,7
Sweden,Turkey,3
Turkey,Germany,4
Iceland,Sweden,2
New Caledonia,New Zealand,11
New Zealand,New Caledonia,19
New Zealand,Vanuatu,11
New Zealand,Fiji,31
Nigeria,Ghana,13
Luxembourg,Finland,1
Turkey,Sweden,5
Germany,Turkey,14
Greece,Egypt,3
Venezuela,Panama,8
Belgium,Italy,4
India,Myanmar,9
Chile,Panama,3
Pakistan,Myanmar,3
Uruguay,Mexico,7
Peru,Panama,5
India,Sri Lanka,8
Sweden,France,6
Pakistan,Sri Lanka,6
Uruguay,Panama,3
Mexico,Panama,17
Brazil,Panama,3
Peru,Mexico,9
Austria,Republic of Ireland,9
Hungary,German DR,8
Bulgaria,Poland,4
Russia,Hungary,16
Sweden,Scotland,6
Switzerland,Turkey,5
Finland,China PR,1
Silesia,China PR,1
Poland,German DR,9
Yugoslavia,Austria,8
Zanzibar,Tanzania,9
New Zealand,Tahiti,12
Romania,German DR,5
Yugoslavia,Egypt,3
Albania,Czechoslovakia,1
Argentina,Spain,6
Argentina,Portugal,5
Gambia,Sierra Leone,6
Bolivia,Peru,15
Guatemala,Honduras,9
Honduras,Curaçao,5
Peru,Brazil,5
Spain,Belgium,11
Honduras,Panama,24
Republic of Ireland,Austria,3
Hong Kong,South Korea,2
Taiwan,South Korea,4
South Korea,Singapore,24
South Korea,Malaysia,33
Singapore,South Korea,2
South Korea,Indonesia,30
Argentina,England,3
Yugoslavia,Belgium,5
Yugoslavia,Wales,4
Belgium,Finland,4
Turkey,Switzerland,8
Uruguay,England,5
Guinea-Bissau,Gambia,8
England,United States,8
Singapore,Philippines,16
Saarland,Norway,1
Mexico,Haiti,9
Tahiti,Vanuatu,19
Uganda,Burundi,11
New Caledonia,Tahiti,26
Trinidad and Tobago,Kernow,2
Uganda,Zanzibar,23
France,Republic of Ireland,10
Germany,Saarland,2
Myanmar,Sri Lanka,6
Portugal,South Africa,2
Albania,Poland,2
Spain,Turkey,5
South Korea,Japan,38
Turkey,Spain,1
United States,Haiti,7
South Africa,Israel,1
Taiwan,Vietnam,1
Pakistan,Singapore,2
Vietnam,Philippines,12
India,Japan,4
South Korea,Afghanistan,1
Zimbabwe,Israel,1
Burma,Pakistan,1
Indonesia,India,8
Taiwan,Philippines,6
Hong Kong,Afghanistan,2
Taiwan,Indonesia,4
Burma,Indonesia,1
Austria,Wales,5
Belgium,Yugoslavia,4
Israel,Zimbabwe,1
Scotland,Finland,6
Austria,Norway,7
Ghana,Sierra Leone,9
Uruguay,Saarland,1
Uruguay,Czechoslovakia,2
Hungary,South Korea,2
Uruguay,Scotland,2
Turkey,South Korea,4
Hungary,Brazil,3
Hungary,Uruguay,1
Austria,Uruguay,2
Iceland,Norway,7
Curaçao,Netherlands,2
Netherlands,Suriname,3
Sweden,Iceland,12
Russia,Sweden,9
Yugoslavia,Saarland,1
Bulgaria,German DR,6
Cambodia,Thailand,3
Italy,Argentina,6
Hungary,Scotland,4
Sri Lanka,Myanmar,1
Egypt,Bulgaria,3
Japan,Myanmar,9
Bulgaria,Lebanon,1
Scotland,Portugal,4
Hungary,Denmark,8
Scotland,Austria,7
Bulgaria,Egypt,1
Portugal,England,3
Yugoslavia,Italy,4
Romania,Norway,5
Madagascar,Mauritius,11
Costa Rica,Aruba,1
Honduras,Cuba,9
Costa Rica,Cuba,11
Guatemala,Curaçao,3
Aruba,Cuba,1
El Salvador,Cuba,5
Curaçao,Honduras,4
Russia,Germany,3
El Salvador,Aruba,1
Iceland,United States,2
Curaçao,El Salvador,1
Curaçao,Cuba,5
Russia,India,3
German DR,Romania,8
England,Denmark,13
Yugoslavia,Republic of Ireland,1
Netherlands,Saarland,2
German DR,Bulgaria,5
Sweden,Portugal,7
Turkey,Portugal,2
Portugal,Egypt,3
Curaçao,Martinique,5
Chile,Brazil,8
Turkey,Hungary,4
South Korea,Philippines,5
Hungary,Lebanon,1
Argentina,Costa Rica,4
Costa Rica,Chile,6
Brazil,Costa Rica,10
Haiti,Venezuela,2
Costa Rica,Peru,2
Malaysia,Cambodia,23
Portugal,Turkey,7
Curaçao,Guadeloupe,4
Brazil,Portugal,14
Brazil,Austria,7
Cambodia,Malaysia,4
Brazil,Turkey,4
Vietnam Republic,Malaysia,14
England,Brazil,4
Russia,Denmark,9
China PR,India,5
Argentina,Italy,5
China PR,Myanmar,10
Finland,Iceland,7
Brazil,Italy,8
German DR,Poland,5
Belarus,Kyrgyzstan,2
Czechoslovakia,Brazil,2
Russia,Lithuania,6
Russia,Belarus,5
Yugoslavia,China PR,1
Moldova,Lithuania,3
Argentina,Czechoslovakia,2
Chile,Czechoslovakia,1
Israel,Hong Kong,4
South Korea,Israel,5
Yugoslavia,Indonesia,3
Croatia,Indonesia,1
Israel,Vietnam Republic,2
South Korea,Vietnam Republic,8
South Korea,Hong Kong,20
German DR,Indonesia,1
Austria,Luxembourg,7
Republic of Ireland,Denmark,5
China PR,North Vietnam,5
North Korea,China PR,6
North Korea,North Vietnam,6
Vietnam Republic,Thailand,20
France,Russia,6
Poland,Norway,11
South Korea,United States,4
United States,Philippines,1
Sierra Leone,Gambia,11
Ethiopia,Sudan,14
Indonesia,United States,1
Scotland,Yugoslavia,2
England,Yugoslavia,5
Bulgaria,Singapore,1
Yugoslavia,India,1
Spain,Netherlands,4
India,Singapore,9
Egypt,Sudan,14
Egypt,Ethiopia,12
India,Malaysia,9
Austria,Malta,9
Sudan,Syria,3
German DR,Luxembourg,5
Curaçao,Guatemala,1
Colombia,Uruguay,12
Peru,Argentina,5
Italy,Northern Ireland,7
Northern Ireland,Portugal,2
Wales,Czechoslovakia,3
Scotland,Spain,4
Indonesia,China PR,1
German DR,Wales,3
Turkey,Poland,3
Bulgaria,Norway,7
Belgium,Romania,5
Czechoslovakia,Wales,6
Spain,Scotland,7
France,Iceland,11
Tunisia,Libya,13
Belgium,Iceland,13
Norway,Hungary,5
Bolivia,Paraguay,16
Czechoslovakia,German DR,5
Russia,Poland,7
Myanmar,China PR,2
Mexico,Canada,21
Russia,Bulgaria,10
China PR,Sudan,1
Russia,Finland,13
Panama,Cuba,13
Zambia,Malawi,41
Indonesia,Thailand,19
Thailand,Cambodia,8
Malaysia,Myanmar,23
Vietnam Republic,Singapore,14
Myanmar,Cambodia,16
Singapore,Thailand,11
Myanmar,Thailand,14
Indonesia,Vietnam Republic,9
Singapore,Myanmar,19
Malaysia,Indonesia,24
China PR,Albania,1
Tahiti,New Caledonia,20
Wales,German DR,1
Bolivia,Argentina,7
Mexico,Costa Rica,29
Poland,Russia,3
Czechoslovakia,Egypt,1
Wales,Israel,3
Northern Ireland,Italy,1
Malta,Denmark,1
Ghana,Togo,18
Malaysia,Singapore,26
Morocco,Libya,5
Netherlands,Curaçao,2
Turkey,Netherlands,4
Indonesia,Philippines,21
Brazil,Bulgaria,8
Hong Kong,Taiwan,6
Malaysia,Pakistan,6
Denmark,Curaçao,2
Taiwan,Malaya,1
Indonesia,Burma,1
Hong Kong,Philippines,4
India,Burma,1
Israel,Iran,1
Vietnam Republic,Malaya,1
Taiwan,Pakistan,1
Hong Kong,Japan,5
South Korea,Iran,10
Israel,Singapore,1
Taiwan,Israel,1
India,Hong Kong,7
South Korea,India,15
Scotland,Poland,2
Germany,Argentina,7
Northern Ireland,Czechoslovakia,2
France,Paraguay,3
Sweden,Mexico,6
Argentina,Northern Ireland,1
Russia,Austria,8
Paraguay,Scotland,1
Czechoslovakia,Argentina,1
Brazil,Russia,9
Hungary,Mexico,2
Russia,England,4
Wales,Hungary,5
Brazil,Wales,8
Indonesia,Singapore,26
Indonesia,Malaysia,31
Norway,German DR,1
Russia,Czechoslovakia,6
Malaysia,Vietnam Republic,15
France,Greece,7
Spain,Northern Ireland,11
England,Russia,6
German DR,Norway,5
Turkey,Czechoslovakia,1
Egypt,Germany,1
Malaysia,Japan,9
Japan,Malaysia,9
Japan,Singapore,19
Singapore,Japan,3
Barbados,Guyana,9
Republic of Ireland,Czechoslovakia,4
Kenya,Réunion,3
Czechoslovakia,Republic of Ireland,7
Brazil,England,11
Bulgaria,Netherlands,5
Peru,England,1
Mexico,England,2
Sudan,Ethiopia,16
Portugal,Scotland,8
Guadeloupe,Suriname,4
Norway,Luxembourg,9
Portugal,German DR,2
Poland,Israel,7
Spain,Poland,8
German DR,Czechoslovakia,8
Taiwan,Hong Kong,3
Vietnam Republic,South Korea,1
Finland,German DR,2
Vietnam Republic,India,5
Suriname,Martinique,4
Russia,China PR,2
Zanzibar,Uganda,4
Bulgaria,France,8
Republic of Ireland,Sweden,3
Nigeria,Benin,14
Chile,Argentina,6
Denmark,Greece,8
Iran,Israel,3
Bulgaria,Denmark,4
India,Pakistan,11
Israel,India,2
Israel,Pakistan,1
Vietnam Republic,Myanmar,3
Thailand,Malaysia,26
Thailand,Myanmar,22
Gambia,Cape Verde,4
Ecuador,Paraguay,12
Yugoslavia,Morocco,2
Yugoslavia,Tunisia,3
Sierra Leone,Guinea-Bissau,8
Costa Rica,Brazil,1
France,Chile,2
Germany,Chile,6
Republic of Ireland,Chile,2
Netherlands,Bulgaria,5
Switzerland,Chile,2
Cameroon,Djibouti,1
Mali,Central African Republic,2
Burkina Faso,Gabon,5
Ivory Coast,Benin,12
Cameroon,Mali,5
Congo,Ivory Coast,7
Madagascar,Burkina Faso,1
Cameroon,Congo,9
Brazil,Egypt,6
Poland,Scotland,3
Singapore,India,8
Brazil,Denmark,3
Bulgaria,Belgium,6
Yugoslavia,Portugal,2
Mali,Nigeria,4
Tunisia,Iraq,5
Turkey,Scotland,2
Mexico,Netherlands,4
Mali,Sierra Leone,4
Spain,Peru,3
Russia,Yugoslavia,10
Germany,Iceland,5
Pakistan,Thailand,1
Malaysia,Thailand,37
Pakistan,Japan,1
Japan,Thailand,17
Indonesia,Pakistan,5
Russia,German DR,7
Singapore,Pakistan,4
Austria,Russia,7
Honduras,Costa Rica,18
Trinidad and Tobago,Martinique,12
France,Finland,10
Wales,Republic of Ireland,8
Ghana,Mali,11
Nigeria,Guinea-Bissau,4
North Vietnam,Mongolia,1
China PR,North Korea,12
China PR,Mongolia,2
North Korea,Mongolia,7
Taiwan,Vietnam Republic,3
Israel,Taiwan,4
Germany,Northern Ireland,13
German DR,Finland,4
Morocco,Tunisia,9
Tunisia,Morocco,7
Germany,Greece,6
Bulgaria,Germany,3
German DR,Tunisia,4
Malta,Tunisia,4
German DR,Morocco,1
Iraq,Tunisia,2
Saint Vincent and the Grenadines,Grenada,7
Grenada,Saint Lucia,15
Grenada,Dominica,9
Colombia,United States,12
